Abdul-Gunpf-Weg 61-34
Striebitzgasse 39
04083 Nabburg
Striebitzring 70-71
04176 Sulzbach-Rosenberg
Strohgasse 189
61471 Amberg
Strohstr. 6/7
19860 Calau
Stumpfstraße 5-5
65377 Northeim
Susan-Noack-Straße 42
72944 Steinfurt
Susann-Etzold-Straße 20
34009 Stollberg
Susanna-Rose-Gasse 89
31921 Geithain
Susanne-Jopich-Straße 5865
97924 Grevesmühlen
Sven-Schäfer-Platz 1
89622 Wernigerode
Svenja-Herrmann-Gasse 71
68748 Böblingen
Svetlana-Seifert-Allee 9790
83619 Kassel
Svetlana-Ullmann-Allee 6/5
42343 Witzenhausen
Sybille-Hövel-Platz 53/38
94137 Rochlitz
Sybille-Mülichen-Weg 414
96689 Regen
Sylvia-Wirth-Ring 12
42497 Angermünde
Sylvie-Holt-Weg 67/10
20862 Klötze
Sylvie-Scheuermann-Gasse 9/7
60584 Dieburg
Sylvio-Losekann-Straße 28
75688 Soest
Sylwia-Hamann-Ring 2801
72132 Gotha
Säuberlichallee 478
98782 Lüdenscheid
Säuberlichallee 63/58
31641 Altentreptow
Säuberlichring 1-9
11363 Miltenberg
Södinggasse 6
90457 Rostock
Södingstr. 7
65624 Mallersdorf
Sölzerplatz 2/3
22120 Einbeck
Sölzerplatz 53/25
79477 Euskirchen
Sören-Rörricht-Straße 20
79544 Lübz
Sören-Scholz-Ring 74
41964 Oranienburg
Sükrü-Keudel-Weg 28-41
90293 Potsdam
Sükrü-Ortmann-Gasse 53-60
76793 Mellrichstadt
Sükrü-Säuberlich-Platz 5/9
75903 Soest
Sükrü-Söding-Straße 9/6
46212 Augsburg
Süleyman-Seifert-Ring 6/3
02489 Fürstenwalde
Süßebierweg 98-41
80584 Hansestadttralsund
Tadeusz-Gerlach-Weg 7602
24331 Gräfenhainichen
Tanja-Karge-Ring 2412
79016 Göttingen
Tatiana-Warmer-Straße 70
20662 Mellrichstadt
Tatjana-Johann-Gasse 3507
61426 Auerbach
Telse-Hethur-Weg 8-9
65875 Mühldorf am Inn
Teresa-Stiebitz-Weg 92-51
69362 Luckau
Textorstr. 3169
45698 Konstanz
Thanelgasse 6-5
85195 Hohenmölsen
Thanelgasse 917
59243 Magdeburg
Thanelring 0
83208 Erding
Thanelring 23/22
00669 Pritzwalk
Thanelring 391
76680 Paderborn
Thanelring 40
04451 Bad Kreuznach
Thanelstraße 6/9
52986 Wurzen
Thanelweg 633
07980 Zerbst
Thanelweg 9/9
74817 Stadtsteinach
Thea-Blümel-Ring 9/6
94087 Wunsiedel
Theo-Renner-Straße 8698
77097 Senftenberg
Theres-Juncken-Gasse 490
63335 Bad Kissingen
Theres-Lübs-Straße 27/93
78180 Bruchsal
Theresa-Linke-Weg 76/83
52317 Waldmünchen
Theresia-Zänker-Allee 8/5
33493 Husum
Thiesallee 13/33
82652 Siegen
Thiesgasse 89/17
19092 Osterode am Harz
Thiesgasse 9/9
64741 Altötting
Thiesplatz 5-8
09448 Schwabmünchen
Thiesring 71-68
14710 Säckingen
Thiesstraße 82-23
09478 Havelberg
Thomas-Heser-Weg 46/42
62395 Nordhausen
Thomas-Jessel-Ring 5/1
17035 Ochsenfurt
Thomas-Käster-Allee 185
44694 Geithain
Thoralf-Klemt-Straße 13
12143 Spremberg
Thoralf-Schäfer-Ring 3102
03170 Sternberg
Thorben-Schomber-Platz 95-46
30686 Torgau
Till-Ritter-Ring 8
41161 Grevesmühlen
Tilman-Söding-Weg 601
37476 Biedenkopf
Timo-Renner-Allee 309
30529 Ueckermünde
Timo-Weiß-Straße 37/23
00853 Eggenfelden
Tina-Reuter-Weg 24-19
78554 Bad Brückenau
Tintzmannstraße 74
14685 Kemnath
Tintzmannweg 8
56123 Wismar
Tlustekplatz 3/4
26951 Meiningen
Tlustekstraße 67/81
58855 Schwäbisch Gmünd
Tobias-Stiebitz-Straße 48-47
31252 Gifhorn
Tom-Koch II-Straße 7639
53470 Wolmirstedt
Tomasz-Patberg-Straße 672
13360 Monschau
Tomislav-Klotz-Straße 871
87411 Neustadt am Rübenberge
Torsten-Krebs-Gasse 1372
88904 Reutlingen
Trappallee 21-52
51198 Calau
Trappallee 3-2
59698 Parchim
Trappallee 36/86
50225 Tecklenburg
Trappallee 61/23
35584 Paderborn
Trappplatz 54-73
22135 Wolfratshausen
Trappstr. 24
72622 Uelzen
Traude-Weihmann-Allee 7-5
01807 Wolfenbüttel
Traudel-Hande-Straße 19/37
86883 Oberviechtach
Traute-Geisler-Gasse 5
92236 Potsdam
Trommlerstr. 6658
43426 Northeim
Trommlerstraße 71-99
33003 Sebnitz
Trubinplatz 366
54302 Neustrelitz
Trubinplatz 7/3
33404 Altötting
Trubring 7774
05035 Karlsruhe
Trubstraße 3-4
92280 Sigmaringen
Trudel-Dowerg-Platz 6035
72035 Schwerin
Trudel-Peukert-Allee 7455
33050 Nauen
Truppgasse 8
06165 Gifhorn
Truppweg 5/3
45985 Badibling
Tröstplatz 1473
31635 Borna
Tröstplatz 2-9
15371 Neu-Ulm
Tröstring 72-93
52223 Bogen
Tröststr. 4
76776 Pasewalk
Tröststr. 9
68872 Nauen
Tröstweg 0
09532 Wolmirstedt
Tröstweg 91/33
98244 Niesky
Trübweg 8-4
69341 Kassel
Tschentscherplatz 83/44
63203 Neu-Ulm
Tschentscherring 2/9
80211 Wolfach
Tschentscherring 5
04040 Eberswalde
Tschentscherstr. 7
58258 Wanzleben
Täschegasse 29/38
93535 Aschaffenburg
Täschegasse 5/7
98028 Gadebusch
Udo-Bloch-Platz 6
50488 Gadebusch
Ulla-Mude-Gasse 78/29
88740 Sternberg
Ullmannallee 4/9
43605 Gardelegen
Ullrich-Hettner-Ring 5-4
57103 Bruchsal
Ullrichallee 31
90788 Kötzting
Ullrichallee 35
59777 Meppen
Ullrichplatz 4
15586 Hettstedt
Ullrichweg 40/14
92584 Bad Langensalza
Ulrich-Gerlach-Straße 8552
80359 Mayen
Urban-Jockel-Allee 235
21155 Rehau
Urs-Häring-Gasse 88
62045 Greifswald
Ursel-Thies-Allee 9-7
23554 Sankt Goar
Ursula-Hartmann-Allee 0
70215 Tirschenreuth
Urszula-Putz-Weg 7886
31579 Ludwigslust
Urte-Budig-Allee 74/41
50663 Hamburg
Uschi-Segebahn-Straße 1/5
37088 Eberswalde
Utz-Fröhlich-Gasse 6/2
99806 Eggenfelden
Uwe-Pohl-Weg 9-6
15516 Bernburg
Vadim-Schweitzer-Straße 161
89333 Dresden
Vadim-Weller-Allee 9-3
48026 Magdeburg
Valentin-Weinhage-Weg 5
07622 Schwäbisch Hall
Valentin-van der Dussen-Allee 1-5
85420 Vilsbiburg
Valerie-Söding-Straße 4/6
31135 Reutlingen
Veli-Werner-Allee 40
24397 Sömmerda
Veronica-Schmidt-Weg 9-1
42890 Naila
Veronique-Schwital-Platz 2336
47672 Viersen
Victor-Seip-Allee 5/5
53995 Wiedenbrück
Viktor-Löchel-Ring 7
05923 Hünfeld
Vincent-Stoll-Straße 51
42806 Viechtach
Vinzenz-Wilms-Weg 1-4
99552 Fürstenfeldbruck
Viola-Jacobi Jäckel-Platz 118
53458 Worbis
Viola-Steinberg-Platz 8-3
58910 Warendorf
Virginia-Schenk-Platz 7
81782 Güstrow
Vito-Lachmann-Ring 2/6
19887 Schwäbisch Hall
Vitus-Stroh-Platz 4/2
92042 Tirschenreuth
Viviane-Eimer-Ring 4/9
73978 Magdeburg
Vlado-Mielcarek-Ring 7697
56543 Kleve
Vogtgasse 5408
83156 Osterode am Harz
Vogtstr. 2868
00552 Hoyerswerda
Vogtweg 807
89724 Stuttgart
Vogtweg 89-99
37062 Göttingen
Vollbrechtweg 7-7
93495 Füssen
Wagenknechtgasse 1
20305 Mettmann
Wagenknechtstraße 63
07973 Altötting
Wagenknechtweg 5-2
04350 Dessau
Wagnerallee 3/3
68118 Osterode am Harz
Wagnerweg 2-5
11980 Zossen
Walentina-Geisler-Gasse 253
73962 Mettmann
Walfried-Höfig-Straße 5
91534 Hünfeld
Walli-Hornig-Ring 2247
98523 Gräfenhainichen
Waltergasse 61-32
49887 Lüdinghausen
Walterstr. 40-13
23264 Wetzlar
Walther-Wilms-Platz 1/3
22973 Freudenstadt
Warmerallee 8-2
77035 Weißenfels
Warmergasse 37/23
32216 Neuss
Weihmannplatz 5/9
86540 Cottbus
Weihmannplatz 68-43
49112 Melsungen
Weihmannweg 0
99098 Kemnath
Weinhagestraße 8590
26577 Pegnitz
Weinhageweg 2
79046 München
Weinholdallee 13
98420 Zerbst
Weinholdallee 61-79
19903 Nördlingen
Weinholdstraße 6-3
11742 Bad Freienwalde
Weitzelstr. 54-94
82938 Bad Freienwalde
Weißallee 3-7
07198 München
Weißgasse 3967
18993 Hildburghausen
Weißgasse 91/10
44019 Haldensleben
Weißgasse 98
18566 Nordhausen
Weißstr. 21-93
08958 Halberstadt
Weißstraße 90-71
50983 Pfaffenhofen an der Ilm
Wellerring 18
91998 Kronach
Wendeallee 3052
50692 Gotha
Wendeplatz 21
01114 Mettmann
Werneckegasse 2
31297 Erfurt
Werneckeweg 3
62618 Mellrichstadt
Wernerstr. 98-75
63549 Meißen
Wernerstraße 5502
75348 Rottweil
Wiekplatz 9/1
67392 Waren
Wiekstr. 40
15500 Bitterfeld
Wiekstr. 8/8
65296 Grevesmühlen
Wieland-Berger-Weg 70-83
44255 Diepholz
Wieland-Jähn-Allee 3-4
94047 Augsburg
Wielochgasse 5/5
48666 Hammelburg
Wieslaw-Karz-Gasse 5/4
03616 Gerolzhofen
Wieslaw-Niemeier-Ring 17
64913 Hannoversch Münden
Wilhelm-Döhn-Gasse 5
19097 Saulgau
Wilhelmine-Gröttner-Gasse 7-7
53695 Kelheim
William-Freudenberger-Platz 121
64738 Hohenmölsen
Willibert-Haering-Allee 35-37
04940 Rosenheim
Willy-Kramer-Weg 569
02232 Freising
Wilmsengasse 7/2
59061 Mühldorf am Inn
Wilmsenstraße 52-22
45912 Pfaffenhofen an der Ilm
Wilmsstraße 541
60635 Neunburg vorm Wald
Winklerstraße 4/8
01763 Neustrelitz
Wirthallee 5110
43278 Tirschenreuth
Wirthstraße 95/53
34521 Gunzenhausen
Witold-Neuschäfer-Ring 9
34288 Greifswald
Witold-Wieloch-Weg 93
46548 Aachen
Wojciech-Hamann-Gasse 864
47599 Eggenfelden
Woldemar-Neureuther-Ring 3
12537 Nordhausen
Wolf-Dieter-Trapp-Straße 58/42
50905 Miltenberg
Wolf-Rüdiger-Bien-Allee 5-3
73633 Euskirchen
Wolf-Rüdiger-Hauffer-Weg 646
10634 Forchheim
Wulf-Eimer-Allee 5-8
32764 Dieburg
Wulffgasse 9085
84195 Schwandorf
Wulffweg 96/54
41289 Badalzungen
Wulfstraße 6
64738 Bayreuth
Wulfweg 3-1
68031 Diepholz
Wähnerweg 50/53
03350 Duderstadt
Yvette-Flantz-Gasse 26
85817 Wismar
Yvette-Lehmann-Weg 2/1
09675 Vechta
Yvette-Reuter-Ring 83/95
44373 Malchin
Yvonne-Bolnbach-Allee 683
11479 Ingolstadt
Zahnallee 30/82
35235 Niesky
Zahnring 56/44
61193 Wetzlar
Zahnweg 6-2
27119 Ahaus
Zdenka-Vogt-Ring 4-2
40607 Reutlingen
Zdenka-Wiek-Platz 57
24649 Gelnhausen
Zdravko-Binner-Allee 36
68994 Aue
Zdravko-Kitzmann-Weg 899
48453 Forst
Zehra-Pohl-Ring 89/24
65471 Rottweil
Zeljko-Austermühle-Allee 3
55878 Lichtenfels
Zeljko-Zobel-Platz 4946
49333 Sonneberg
Zenon-Hölzenbecher-Ring 9-3
99282 Prenzlau
Ziegertgasse 8-2
89333 Dresden
Ziegertweg 362
99359 Warendorf
Zimmerring 86
00795 Kelheim
Zirmering 3530
68610 Wanzleben
Zirmering 9671
16097 Beilngries
Zirmestr. 39/93
26359 Bützow
Zirmeweg 8/3
27609 Ravensburg
Zita-Staude-Weg 4941
11281 Gräfenhainichen
Zobelgasse 5-2
89484 Cuxhaven
Zoran-Fröhlich-Weg 68
89633 Wolfenbüttel
Zoran-Renner-Ring 556
97131 Schwarzenberg
Zorbachallee 0
08289 Genthin
Zorbachgasse 81/77
68251 Olpe
Zorbachplatz 15
62118 Roth
Zorbachstr. 14/73
36512 Parsberg
Zorbachstr. 52-10
78593 Tübingen
Zänkerallee 96-13
14126 Wiedenbrück
Zänkerplatz 20-86
43637 Aurich
Zänkerring 4
91837 Schwäbisch Gmünd
auch Schlauchinplatz 4/1
26650 Vechta
auch Schlauchinweg 622
71740 Artern
van der Dussenallee 73-53
73277 Bamberg
van der Dussenring 55
30400 Marktheidenfeld
Änne-Martin-Ring 7-2
69417 Lübben
