300 არაგველის ქ. 01, ტყვარჩელი
ხაბეიშვილის ქ. 84, ლანჩხუთი
ხაბეიშვილის ქ. 97, თელავი
ხაზინის ქ. 12, დუშეთი
ხაზინის ქ. 13, ყვარელი
ხაზინის ქ. 44, თბილისი
ხაზინის ქ. 82, გარდაბანი
ხანძთელი გრიგოლის ქ. 91, ცხინვალი
ხარაბაძის ქ. 41, ოზურგეთი
ხარაბაძის ქ. 51, ახალი ათონი
ხარაბაძის ქ. 61, ქუთაისი
ხარაბაძის ქ. 72, თეთრიწყარო
ხარფუხის ქ. 19, ახმეტა
ხარფუხის ქ. 46, მარტვილი
ხარფუხის ქ. 47, ქუთაისი
ხაჩატურიანის ქ. 07, ბოლნისი
ხაჩატურიანის ქ. 41, სენაკი
ხახანაშვილის ქ. 31, დედოფლისწყარო
ხახანაშვილის ქ. 81, მარტვილი
ხევის ქ. 10, ბოლნისი
ხევის ქ. 37, ქარელი
ხევის ქ. 62, ცაგერი
ხევის ქ. 63, ქარელი
ხევისუბნის ქ. 17, ახალციხე
ხევისუბნის ქ. 55, ზუგდიდი
ხევსურეთის ქ. 34, ახმეტა
ხევსურეთის ქ. 81, მარტვილი
ხევძმარის ქ. 17, ონი
ხევძმარის ქ. 90, ახალციხე
ხევძმარის ქ. 93, მარნეული
ხევძმარის ქ. 99, თეთრიწყარო
ხეთაგუროვის ქ. 09, რუსთავი
ხერგიანის ქ. 00, გაგრა
ხერგიანის ქ. 58, ბაღდათი
ხერგიანის ქ. 69, ბაღდათი
ხერგიანის ქ. 83, მარტვილი
ხერთვისის ქ. 10, ზუგდიდი
ხერთვისის ქ. 56, ტყვარჩელი
ხერთვისის ქ. 71, სენაკი
ხერთვისის ქ. 86, ყვარელი
ხერთვისის ქ. 99, ლანჩხუთი
ხერხეულიძეების ქ. 31, ფოთი
ხერხეულიძეების ქ. 84, ქუთაისი
ხერხეულიძეების ქ. 91, თბილისი
ხეჩუაშვილის ქ. 02, ხობი
ხეჩუაშვილის ქ. 20, საჩხერე
ხეჩუაშვილის ქ. 34, სოხუმი
ხვამლის ქ. 12, გალი
ხვამლის ქ. 34, ტყვარჩელი
ხვამლის ქ. 64, სოხუმი
ხვამლის ქ. 81, აბაშა
ხვამლის ქ. 97, ქობულეთი
ხვანჭკარის ქ. 35, ბათუმი
ხვინგიას ქ. 10, ცაგერი
ხვინგიას ქ. 13, ოზურგეთი
ხვინგიას ქ. 34, ხაშური
ხვინგიას ქ. 47, წყალტუბო
ხვიჩია იპოლიტეს ქ. 13, ქუთაისი
ხვიჩია იპოლიტეს ქ. 75, გაგრა
ხიდის ქ. 34, ბათუმი
ხიდის ქ. 38, ქარელი
ხიდისთავის ქ. 14, გორი
ხიდისთავის ქ. 34, ჯვარი
ხიდისთავის ქ. 79, სამტრედია
ხივინის ქ. 15, ხაშური
ხივინის ქ. 19, მარნეული
ხივინის ქ. 91, ცაგერი
ხიმშიაშვილის ქ. 85, დედოფლისწყარო
ხიმშიაშვილის ქ. 96, ფოთი
ხოდაშენის ქ. 08, ამბროლაური
ხოდაშენის ქ. 85, დმანისი
ხომლელის ქ. 04, წალენჯიხა
ხომლელის ქ. 71, რუსთავი
ხომლელის ქ. 87, ბათუმი
ხონის ქ. 76, ამბროლაური
ხონის ქ. 77, გარდაბანი
ხონის ქ. 83, ნინოწმინდა
ხორნაბუჯის ქ. 05, თეთრიწყარო
ხოშარაულის ქ. 49, ვანი
ხოშარაულის ქ. 71, წყალტუბო
ხრამჰესის ქ. 43, ბათუმი
ხრამჰესის ქ. 48, სენაკი
ხრესილის ქ. 32, ლანჩხუთი
ხრესილის ქ. 33, გალი
ხრესილის ქ. 54, ბაღდათი
ხრესილის ქ. 76, ქარელი
ჯ. კახიძის ქ. 19, ონი
ჯ. კახიძის ქ. 38, თბილისი
ჯაბაურის ქ. 81, წალკა
ჯაბიძის ქ. 12, წნორი
ჯაბიძის ქ. 31, ქობულეთი
ჯაბიძის ქ. 46, ქარელი
ჯაბიძის ქ. 49, ბოლნისი
ჯაბიძის ქ. 85, ხაშური
ჯაბიძის ქ. 97, ბორჯომი
ჯავახეთის ქ. 58, ცხინვალი
ჯავახეთის ქ. 67, კასპი
ჯავახიშვილი მიხეილის ქ. 42, ტყვარჩელი
ჯავახიშვილი მიხეილის ქ. 80, წნორი
ჯავახიშვილი მიხეილის ქ. 82, ნინოწმინდა
ჯამბულის ქ. 28, ბოლნისი
ჯამბულის ქ. 53, კასპი
ჯამბულის ქ. 69, გაგრა
ჯანაშვილის ქ. 40, გაგრა
ჯანაშიას ქ. 85, ოჩამჩირე
ჯანაშიას ქ. 95, მარტვილი
ჯანჯღავას ქ. 72, გორი
ჯვარედინის ქ. 27, ვალე
ჯვარედინის ქ. 66, ბათუმი
ჯვარედინის ქ. 90, თელავი
ჯიქიას ქ. 38, ბოლნისი
ჯორბენაძის ქ. 06, წყალტუბო
ჯორბენაძის ქ. 45, თერჯოლა
ჯორჯაძის ქ. 25, ჭიათურა
ჯორჯაძის ქ. 41, წყალტუბო
ჯორჯაძის ქ. 52, სენაკი
ჯორჯაძის ქ. 56, ბორჯომი
ჰოსპიტალის ქ. 82, ტყვარჩელი
